itemId	category
0	430
1	7
2	81
3	16
4	81
5	81
6	258
7	41
8	41
9	196
10	173
11	179
12	31
13	199
14	199
15	18
16	31
17	64
18	8
19	78
20	79
21	42
22	79
23	52
24	52
25	59
26	114
27	22
28	59
29	78
30	78
31	22
32	79
33	22
34	22
35	11
36	144
37	59
38	59
39	59
40	369
41	369
42	369
43	288
44	40
45	50
46	50
47	40
48	75
49	75
50	52
51	52
52	56
53	56
54	17
55	207
56	207
57	300
58	207
59	16
60	16
61	16
62	16
63	6
64	6
65	6
66	6
67	6
68	16
69	21
70	52
71	0
72	0
73	6
74	0
75	115
76	115
77	115
78	115
79	115
80	52
81	52
82	79
83	52
84	78
85	7
86	7
87	7
88	7
89	7
90	4
91	7
92	7
93	4
94	7
95	7
96	0
97	7
98	7
99	8
100	7
101	7
102	7
103	7
104	99
105	126
106	191
107	58
108	1
109	7
110	11
111	7
112	7
113	4
114	7
115	110
116	151
117	5
118	151
119	56
120	6
121	24
122	223
123	412
124	4
125	36
126	8
127	220
128	78
129	59
130	59
131	7
132	145
133	12
134	12
135	54
136	120
137	25
138	25
139	25
140	25
141	4
142	216
143	260
144	260
145	7
146	151
147	28
148	56
149	0
150	9
151	0
152	0
153	7
154	16
155	168
156	168
157	16
158	45
159	45
160	22
161	22
162	7
163	7
164	7
165	18
166	18
167	15
168	7
169	18
170	154
171	265
172	154
173	126
174	154
175	7
176	7
177	7
178	7
179	22
180	22
181	12
182	170
183	22
184	22
185	22
186	1
187	64
188	0
189	0
190	0
191	3
192	3
193	3
194	15
195	4
196	12
197	12
198	83
199	12
200	12
201	144
202	144
203	22
204	22
205	22
206	22
207	81
208	16
209	56
210	154
211	216
212	16
213	81
214	81
215	256
216	81
217	81
218	16
219	16
220	16
221	30
222	41
223	41
224	7
225	7
226	7
227	7
228	7
229	14
230	7
231	7
232	7
233	7
234	7
235	7
236	7
237	7
238	7
239	7
240	8
241	309
242	206
243	282
244	282
245	68
246	269
247	8
248	16
249	1
250	68
251	68
252	220
253	42
254	40
255	10
256	10
257	10
258	76
259	76
260	76
261	76
262	76
263	142
264	142
265	76
266	156
267	516
268	42
269	517
270	381
271	385
272	243
273	154
274	154
275	243
276	6
277	99
278	22
279	89
280	80
281	72
282	80
283	3
284	33
285	30
286	30
287	30
288	25
289	25
290	7
291	7
292	7
293	7
294	22
295	22
296	22
297	390
298	266
299	266
300	134
301	22
302	129
303	129
304	129
305	30
306	30
307	30
308	30
309	85
310	276
311	52
312	92
313	52
314	63
315	199
316	52
317	50
318	144
319	22
320	7
321	7
322	7
323	1
324	144
325	144
326	144
327	8
328	143
329	8
330	12
331	12
332	23
333	12
334	12
335	23
336	12
337	12
338	12
339	143
340	7
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	176
386	21
387	18
388	8
389	189
390	8
391	1
392	1
393	1
394	7
395	8
396	8
397	8
398	21
399	8
400	7
401	20
402	7
403	18
404	8
405	20
406	15
407	1
408	104
409	7
410	7
411	8
412	7
413	7
414	7
415	7
416	1
417	8
418	170
419	7
420	7
421	7
422	170
423	20
424	20
425	12
426	8
427	7
428	56
429	23
430	62
431	18
432	7
433	1
434	7
435	1
436	336
437	336
438	16
439	16
440	52
441	52
442	52
443	52
444	52
445	4
446	79
447	55
448	8
449	42
450	42
451	8
452	11
453	8
454	42
455	8
456	7
457	78
458	59
459	44
460	72
461	40
462	81
463	82
464	83
465	59
466	86
467	85
468	85
469	84
470	48
471	76
472	48
