sessionId	categorys	items
3	2,2,2,2	0,1,2,3
5	2,2,2,2	4,5,6,7
7	0,0,0	8,9,10
9	1,1,1	11,12,13
10	5,5,5	14,15,16
14	2,2,2,2	17,18,19,20
17	3,3	21,21
20	2,2,2	22,23,24
22	0,0,0,0,0,0,0,0	25,26,27,28,29,30,31,32
23	1,1,1,1,1	33,34,35,36,35
24	5,6,5,6	37,38,37,38
25	2,2,2,2,2,2,2,2,2	39,40,39,40,41,42,43,44,45
26	0,0,0	46,31,46
29	2,2,2,2,2,2,2	47,18,48,20,49,48,47
31	0,0,0	50,51,52
35	2,2,2,2,2,2,2,2,2,2,2,2	53,54,55,3,54,3,54,56,57,53,57,58
37	8,8,8	59,60,61
40	0,0	62,63
41	5,5,5,5,5,5,5,5,5,5,5	64,65,66,67,68,69,70,64,71,64,72
44	0,0,0	73,74,30
49	6,6	75,76
50	6,6,6,6,6	77,78,77,79,77
51	0,0	80,81
53	6,6,6	82,83,84
55	6,6	85,86
56	2,2	87,88
57	5,5,5,5	89,90,91,92
62	2,2,2,2,6,6,6,5,1,1,1	93,94,95,96,97,98,99,100,101,102,103
64	4,4,0	104,105,30
66	2,2,2	106,107,108
68	2,2	109,110
69	6,6	111,112
71	0,0,8	113,114,115
74	0,5	116,117
75	8,8	60,118
76	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	119,120,121,122,123,124,125,126,127,119,128,129,130,50,131,132,133,134
79	1,1,1	135,136,137
81	1,1,1	138,139,140
83	4,4,4,4,4,4,4,4,4,4,4,4,4	141,142,141,142,141,142,141,142,143,144,141,144,144
86	2,2,2,2,2,2,2,2	107,145,146,147,148,147,145,146
88	1,1,1,1	149,150,151,13
90	4,4,4	152,153,154
92	0,0,0	155,156,157
94	2,2	158,159
95	2,2	160,161
96	8,8,8,8	162,163,164,162
97	0,0	165,26
98	1,1,1	166,167,166
103	2,0,1,0,0,0,0,2	168,169,121,128,170,171,172,173
105	12,7	174,175
107	4,4,4	176,177,178
110	2,2	179,180
114	0,0	181,182
121	0,0,3,0,0,0,0	183,184,185,8,9,186,187
123	0,0,0	116,188,74
124	2,2,2	189,190,108
126	0,0	191,192
129	5,0	193,194
131	5,5,5,5,5	195,196,197,196,198
132	0,0,0	73,199,188
136	2,2	200,201
137	9,9,9,3	202,203,204,205
144	5,5	206,207
145	4,4,4,4	208,209,208,209
146	2,2	210,211
147	0,0,0	170,128,130
153	1,1,1,1	212,213,214,213
154	8,8	215,216
155	2,0	217,218
156	2,2,2,2,2	219,220,221,222,220
158	4,4,4,4,4	178,223,224,176,225
159	5,5,5,5,5,5	226,227,228,229,230,231
160	0,0,0,0	232,233,234,233
161	2,2,2,2,2	235,236,237,238,239
162	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	240,241,242,243,240,244,245,54,246,247,248,249,242,250,248,242,248,251,252
165	2,2	253,254
167	8,8,8,8	255,255,255,255
170	2,2,2	256,257,258
174	5,5,5	226,259,260
177	0,0	155,157
180	2,2,2,2	261,106,262,263
184	2,2,2,2,2,2	248,240,264,242,265,266
187	4,4,4,4,4	267,268,269,270,271
188	8,4	60,272
190	2,2,2,2,2	273,274,275,274,274
192	7,4,4,6,6,0,0,0,0	276,277,278,279,280,281,282,283,281
195	1,1	149,284
198	2,2	285,286
200	0,0,0,0	287,288,289,290
202	2,8,8	291,292,293
203	0,0	181,182
204	2,2,2,2,2	294,295,296,297,295
205	5,5	298,299
206	0,0,0,0,0	170,181,128,129,182
207	2,2,2	300,301,211
209	3,4,4	302,303,304
210	2,2	305,306
211	2,2,2,2,2,2,2	307,308,309,307,310,311,312
213	0,0,0	313,314,315
214	5,5	316,317
216	5,5,5	318,319,320
218	1,1	321,322
219	0,0,6	315,323,324
220	2,2	325,326
223	6,6,6,6,6,6,6,6	327,328,327,328,327,329,330,331
224	5,5,5	332,333,334
226	2,2	335,336
228	5,6	337,338
229	5,5	339,339
230	2,2	340,341
232	5,0	342,315
233	0,0,0	126,232,343
234	2,2,2,2,2,2	344,345,346,347,348,344
235	2,2	349,341
237	2,2	350,351
238	2,2,2	352,353,352
239	5,2,2	354,355,356
240	5,5	16,15
242	1,1,1	357,358,359
243	2,2	41,40
244	0,0	116,74
245	0,0	116,74
249	0,0,0	116,74,188
251	2,2	360,108
252	2,2,2,2	248,361,362,363
253	8,8,2,2,2,2,2,4	364,365,366,17,367,368,369,370
254	2,2	245,371
258	5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5	372,373,374,375,376,259,377,378,379,380,381,382,383,384,385,386,378
260	5,5	387,388
263	5,5,5	389,390,389
265	2,2,2	353,391,353
269	5,5	392,392
272	1,1,1	393,394,395
278	0,0,0,0,0,0	396,31,29,46,397,398
281	0,0,0,0,0,0,0,0	188,116,399,232,126,400,401,402
282	2,2,2,2	403,404,403,404
287	8,8	405,406
288	0,0,0,0,0,0,7,7,7,7,7,7,7,7,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	396,315,407,408,409,410,411,412,413,414,415,413,412,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,107,146,435,190
289	7,2	436,180
296	2,2	437,438
298	0,0,0,0,0,0,0,0,0	116,188,116,439,30,188,439,116,188
300	0,0	188,439
301	2,2	440,441
302	14,2	442,443
304	2,2	444,6
306	0,0	199,188
307	2,2,2,2,2	445,446,447,448,445
311	5,5,5	449,339,450
312	6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,6,6,6,6,2,2	451,452,453,454,455,456,453,454,453,451,456,454,453,451,453,454,457,458,459,460,461,456,454,453,454,458,460
314	0,0	462,463
319	4,4	209,464
320	1,1,8,8,1,1	465,466,467,468,469,466
321	0,0	116,188
322	2,2,2	457,461,457
323	2,5,2,5,5,2,2	470,471,472,473,474,475,476
328	6,6,6,6	477,98,478,98
333	5,5,5,5	479,480,481,481
334	4,4,4,4,4,4,4,4,4	153,482,153,483,153,483,484,485,153
335	0,0	486,487
338	4,4,4	488,489,488
341	0,0,0	155,122,490
342	2,3,0,0,0,0,0	368,491,157,156,155,492,51
345	2,2	493,494
347	5,5,5	495,496,382
349	5,5	497,498
354	0,0,0,0	74,116,74,499
358	0,0,6	500,501,502
359	2,2,2	503,504,503
364	2,2	505,506
366	2,2,2,2,2,2	266,507,264,508,3,250
367	4,4	509,510
375	5,5,5,5	511,195,198,197
376	2,2	310,308
377	0,0,8,2,2	181,512,513,514,515
385	0,0,0,0,0	129,26,516,517,128
387	2,5	518,519
390	2,2	520,18
395	1,1,1,1	521,522,523,524
404	12,7	525,526
406	0,0,0,0,0,0,2,0,0	527,192,528,191,529,530,345,530,192
409	0,0	531,532
410	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	533,534,533,534,533,535,533,536,533,537,533,535,533,535,537,536,538
413	7,2	539,180
414	2,2,2	540,541,542
416	0,0,0	543,544,545
418	2,2,2,2	546,547,546,548
420	1,1	549,550
421	2,2	551,297
423	2,2,2	211,552,189
424	0,1	553,554
428	5,5,5,5,5	555,556,555,556,555
431	5,5	557,558
433	5,5	559,560
435	2,2	561,562
436	2,2	563,564
439	5,5	565,566
442	0,0	567,171
444	2,6	568,569
445	2,2,2,2	570,571,572,572
446	0,0,0,0,0	400,401,573,123,573
448	3,2,2,2	574,575,576,577
449	4,4,4	578,579,580
454	1,1,1,1,1,1,1	581,582,583,322,584,581,585
455	2,2	248,240
457	0,5,2	586,354,355
458	2,2	587,588
460	6,6	83,589
461	5,5,5,5,5	590,100,591,590,592
464	2,5	355,354
465	1,1,1,1	36,522,593,34
467	2,2	161,594
468	2,2	595,596
471	6,6,6	597,598,599
472	2,2	600,601
473	5,5,6,6,2	602,603,604,605,606
477	2,2,2,2,2	253,607,608,607,608
478	1,1	609,610
481	5,5	611,612
482	8,8,8	613,614,615
483	0,0	116,30
493	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	616,617,618,619,620,616,618,616,619,621,620,619,622,617,623,617
494	2,2,2,2,2	624,625,626,624,626
495	1,1,1	214,627,628
496	0,0,0,0,0	629,218,399,182,181
498	2,2,2,2,2,2,2,2,2	630,631,632,633,634,635,636,637,638
502	0,0,1	323,639,640
504	0,0,0	407,641,642
507	5,2	496,643
508	2,2,2	240,266,243
509	1,1,1	644,645,644
512	2,2	646,647
513	0,0,0,0	199,188,73,188
514	0,1	648,649
517	5,5	650,651
518	2,2	652,653
519	5,4,4,4	654,655,272,656
525	12,12,12	657,658,657
529	0,0	659,660
532	1,0,0,0,0	395,661,660,289,662
537	2,2	663,664
538	5,5,2,2,2,2	665,196,666,356,257,667
543	3,3,0,0,0,0,0,0	668,669,400,401,573,120,490,123
545	5,5	670,671
546	2,2	672,673
548	5,5,5,5,5	674,675,676,677,678
554	5,5	679,680
556	0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1	681,682,522,683,212,684,685,684,585,684,585,684,213,212,684,686
557	8,8,8	687,118,687
558	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	361,688,689,40,39,161,690,346,347,346,691,4,692,347,346,693,688,694,361
560	2,2,2	695,696,697
562	2,2,2,2,2,2,2,2	698,699,700,701,702,699,702,699
563	4,4	370,703
568	10,6,6	704,705,706
569	6,6,6,6	707,708,709,708
571	0,0,0,0,0,7	313,314,27,710,29,711
572	2,2	217,712
573	2,2	713,48
576	0,0,0	62,714,715
577	2,2,2,2,2,2,2	716,716,717,716,718,719,718
579	2,2	720,721
584	5,5,5	70,722,723
589	5,5	724,342
596	5,5,5	725,726,727
600	0,0,0,0,0	402,490,323,127,728
603	0,0	73,188
604	2,2	729,730
605	2,1,1	258,731,521
606	2,2,2,2,2,2	429,428,429,428,732,733
607	0,0	734,735
608	1,1,1	736,36,737
609	0,0,0,0,0,0	715,714,715,738,714,63
610	4,4,4	176,739,740
611	5,5,5,5	298,741,742,743
614	2,2,2,2,2,2,2,10,2,2	744,745,746,747,748,691,749,750,345,346
615	6,4	751,752
616	2,2,2	248,753,248
620	0,0,0,0	74,754,439,74
624	0,5,5,5,5	30,450,226,450,226
626	0,0,0	188,439,188
630	1,1	755,33
633	5,5	756,756
636	2,2	757,758
639	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	759,760,761,762,763,764,765,766,767,768,769,446,770,447,771,448,633,772,638
640	1,1,1	773,774,775
643	8,8,8	776,777,776
647	0,0,0	778,779,778
648	0,0	780,781
650	5,5	782,783
653	5,5	590,784
657	0,0	785,116
661	0,7	30,786
664	0,0,0	155,157,156
665	2,2,2,2,2,2,2,2,2,2	787,788,787,789,790,572,572,790,789,787
666	2,2	791,792
668	1,1,1,1,1,1,1,1,1,1	34,593,793,737,794,394,593,795,13,796
669	2,2,2	797,798,799
670	0,0,0,0,0	122,400,127,728,800
671	5,5	801,802
672	2,2,2	803,804,803
674	4,4	304,805
677	5,5,5,5,5	724,342,806,807,808
678	5,5	809,16
679	0,0,0,0	810,486,811,812
682	2,2	813,244
686	2,2,2,2	814,815,816,817
687	2,2	818,819
689	6,6	820,821
695	8,8	687,822
696	2,2	823,823
697	4,4	824,825
699	2,2,2	3,243,3
701	4,5,8,8,8,8,8,8	826,827,828,829,830,828,831,832
702	2,2,6	367,48,833
703	2,2	834,835
705	2,2,2,2,2,2,2	608,254,607,254,836,253,254
706	2,2,2	837,838,837
708	0,0,0,0,0,0	839,25,31,527,840,841
710	2,2,2,2,2,6	842,620,757,173,843,844
714	2,2	266,3
715	2,2	845,846
716	5,5	298,741
720	2,2,2,2	847,848,849,850
721	5,5,5	388,592,387
723	2,2	843,851
724	2,2,2,2,2,2,2	852,853,235,237,236,854,266
726	2,2	855,39
728	2,2,2,6,6,6,2,2,2,2,2,2,2	856,857,351,858,859,860,765,861,769,766,862,863,493
730	8,8	864,364
734	6,6	865,866
736	2,2,2,2	867,868,869,870
737	0,0	871,486
739	2,2,2,2,2	872,873,874,875,872
740	5,5	876,877
742	8,1	468,101
744	2,2,2,2,2	878,237,879,239,250
750	4,4,4,4,4	880,881,880,882,880
751	2,2	883,883
755	2,2,2,2	884,885,886,887
760	2,2	762,888
762	0,0,0,0,0,0,1,1,0	889,890,156,157,155,492,137,891,130
763	2,2	892,893
764	2,2,8,2,2,2	894,895,896,897,898,899
765	2,2,2,2,2,2	217,900,901,902,900,903
771	2,2,2,8,8	904,905,906,907,908
776	1,1	584,322
